"neighborhood","code_description","n"
"Albany Park","Certificate of operation requiered",27
"Albany Park","Construction site cleanliness",18
"Albany Park","Handling and storage of material susceptible to becoming windborne",5
"Albany Park","Semiannual surficial cleansing",4
"Albany Park","Treatment and disposal of solid or liquid waste",2
"Archer Heights","Certificate of operation requiered",6
"Archer Heights","Construction site cleanliness",1
"Archer Heights","Handling and storage of material susceptible to becoming windborne",3
"Archer Heights","Semiannual surficial cleansing",2
"Archer Heights","Treatment and disposal of solid or liquid waste",5
"Armour Square","Certificate of operation requiered",1
"Armour Square","Construction site cleanliness",6
"Armour Square","Handling and storage of material susceptible to becoming windborne",3
"Ashburn","Certificate of operation requiered",11
"Ashburn","Handling and storage of material susceptible to becoming windborne",5
"Ashburn","Semiannual surficial cleansing",10
"Ashburn","Treatment and disposal of solid or liquid waste",4
"Auburn Gresham","Certificate of operation requiered",3
"Auburn Gresham","Construction site cleanliness",33
"Auburn Gresham","Handling and storage of material susceptible to becoming windborne",7
"Auburn Gresham","Semiannual surficial cleansing",14
"Auburn Gresham","Treatment and disposal of solid or liquid waste",10
"Austin","Certificate of operation requiered",33
"Austin","Construction site cleanliness",34
"Austin","Handling and storage of material susceptible to becoming windborne",6
"Austin","Semiannual surficial cleansing",21
"Austin","Treatment and disposal of solid or liquid waste",33
"Avalon Park","Semiannual surficial cleansing",5
"Avalon Park","Treatment and disposal of solid or liquid waste",1
"Avondale","Certificate of operation requiered",19
"Avondale","Construction site cleanliness",37
"Avondale","Handling and storage of material susceptible to becoming windborne",11
"Avondale","Semiannual surficial cleansing",15
"Avondale","Treatment and disposal of solid or liquid waste",8
"Belmont Cragin","Certificate of operation requiered",21
"Belmont Cragin","Construction site cleanliness",14
"Belmont Cragin","Handling and storage of material susceptible to becoming windborne",4
"Belmont Cragin","Semiannual surficial cleansing",11
"Belmont Cragin","Treatment and disposal of solid or liquid waste",4
"Beverly","Certificate of operation requiered",1
"Beverly","Construction site cleanliness",36
"Beverly","Handling and storage of material susceptible to becoming windborne",6
"Beverly","Semiannual surficial cleansing",3
"Bridgeport","Certificate of operation requiered",3
"Bridgeport","Construction site cleanliness",43
"Bridgeport","Handling and storage of material susceptible to becoming windborne",3
"Bridgeport","Semiannual surficial cleansing",5
"Bridgeport","Treatment and disposal of solid or liquid waste",8
"Brighton Park","Certificate of operation requiered",11
"Brighton Park","Construction site cleanliness",11
"Brighton Park","Handling and storage of material susceptible to becoming windborne",5
"Brighton Park","Semiannual surficial cleansing",9
"Brighton Park","Treatment and disposal of solid or liquid waste",7
"Burnside","Certificate of operation requiered",2
"Burnside","Construction site cleanliness",4
"Burnside","Handling and storage of material susceptible to becoming windborne",2
"Burnside","Treatment and disposal of solid or liquid waste",2
"Calumet Heights","Certificate of operation requiered",2
"Calumet Heights","Construction site cleanliness",1
"Calumet Heights","Treatment and disposal of solid or liquid waste",3
"Chatham","Certificate of operation requiered",2
"Chatham","Construction site cleanliness",7
"Chatham","Handling and storage of material susceptible to becoming windborne",1
"Chatham","Semiannual surficial cleansing",20
"Chatham","Treatment and disposal of solid or liquid waste",5
"Chicago Lawn","Certificate of operation requiered",11
"Chicago Lawn","Construction site cleanliness",4
"Chicago Lawn","Handling and storage of material susceptible to becoming windborne",2
"Chicago Lawn","Semiannual surficial cleansing",12
"Chicago Lawn","Treatment and disposal of solid or liquid waste",2
"Clearing","Certificate of operation requiered",6
"Clearing","Construction site cleanliness",2
"Douglas","Handling and storage of material susceptible to becoming windborne",4
"Dunning","Certificate of operation requiered",5
"Dunning","Construction site cleanliness",2
"Dunning","Handling and storage of material susceptible to becoming windborne",3
"Dunning","Semiannual surficial cleansing",2
"Dunning","Treatment and disposal of solid or liquid waste",1
"East Garfield Park","Certificate of operation requiered",3
"East Garfield Park","Construction site cleanliness",4
"East Garfield Park","Handling and storage of material susceptible to becoming windborne",1
"East Garfield Park","Semiannual surficial cleansing",5
"East Garfield Park","Treatment and disposal of solid or liquid waste",12
"East Side","Certificate of operation requiered",2
"East Side","Handling and storage of material susceptible to becoming windborne",4
"East Side","Treatment and disposal of solid or liquid waste",1
"Edgewater","Certificate of operation requiered",16
"Edgewater","Construction site cleanliness",51
"Edgewater","Handling and storage of material susceptible to becoming windborne",12
"Edgewater","Semiannual surficial cleansing",8
"Edgewater","Treatment and disposal of solid or liquid waste",1
"Edison Park","Certificate of operation requiered",4
"Edison Park","Construction site cleanliness",9
"Edison Park","Treatment and disposal of solid or liquid waste",1
"Englewood","Certificate of operation requiered",3
"Englewood","Construction site cleanliness",27
"Englewood","Handling and storage of material susceptible to becoming windborne",5
"Englewood","Semiannual surficial cleansing",16
"Englewood","Treatment and disposal of solid or liquid waste",14
"Forest Glen","Construction site cleanliness",7
"Forest Glen","Handling and storage of material susceptible to becoming windborne",1
"Forest Glen","Semiannual surficial cleansing",2
"Forest Glen","Treatment and disposal of solid or liquid waste",2
"Fuller Park","Certificate of operation requiered",1
"Fuller Park","Construction site cleanliness",2
"Fuller Park","Handling and storage of material susceptible to becoming windborne",1
"Fuller Park","Semiannual surficial cleansing",1
"Fuller Park","Treatment and disposal of solid or liquid waste",2
"Gage Park","Certificate of operation requiered",7
"Gage Park","Construction site cleanliness",6
"Gage Park","Handling and storage of material susceptible to becoming windborne",1
"Gage Park","Semiannual surficial cleansing",3
"Gage Park","Treatment and disposal of solid or liquid waste",2
"Garfield Ridge","Certificate of operation requiered",7
"Garfield Ridge","Construction site cleanliness",3
"Garfield Ridge","Handling and storage of material susceptible to becoming windborne",1
"Garfield Ridge","Semiannual surficial cleansing",5
"Garfield Ridge","Treatment and disposal of solid or liquid waste",1
"Grand Boulevard","Certificate of operation requiered",1
"Grand Boulevard","Construction site cleanliness",13
"Grand Boulevard","Handling and storage of material susceptible to becoming windborne",2
"Grand Boulevard","Semiannual surficial cleansing",3
"Grand Boulevard","Treatment and disposal of solid or liquid waste",4
"Greater Grand Crossing","Certificate of operation requiered",7
"Greater Grand Crossing","Construction site cleanliness",23
"Greater Grand Crossing","Handling and storage of material susceptible to becoming windborne",3
"Greater Grand Crossing","Semiannual surficial cleansing",19
"Greater Grand Crossing","Treatment and disposal of solid or liquid waste",6
"Hegewisch","Certificate of operation requiered",2
"Hegewisch","Construction site cleanliness",2
"Hegewisch","Handling and storage of material susceptible to becoming windborne",2
"Hermosa","Certificate of operation requiered",7
"Hermosa","Handling and storage of material susceptible to becoming windborne",4
"Hermosa","Semiannual surficial cleansing",3
"Hermosa","Treatment and disposal of solid or liquid waste",2
"Humboldt Park","Certificate of operation requiered",10
"Humboldt Park","Construction site cleanliness",17
"Humboldt Park","Handling and storage of material susceptible to becoming windborne",8
"Humboldt Park","Semiannual surficial cleansing",10
"Humboldt Park","Treatment and disposal of solid or liquid waste",17
"Hyde Park","Certificate of operation requiered",2
"Hyde Park","Construction site cleanliness",6
"Hyde Park","Handling and storage of material susceptible to becoming windborne",1
"Irving Park","Certificate of operation requiered",19
"Irving Park","Construction site cleanliness",100
"Irving Park","Handling and storage of material susceptible to becoming windborne",13
"Irving Park","Semiannual surficial cleansing",4
"Irving Park","Treatment and disposal of solid or liquid waste",13
"Jefferson Park","Certificate of operation requiered",4
"Jefferson Park","Construction site cleanliness",27
"Jefferson Park","Handling and storage of material susceptible to becoming windborne",2
"Jefferson Park","Semiannual surficial cleansing",3
"Jefferson Park","Treatment and disposal of solid or liquid waste",2
"Kenwood","Certificate of operation requiered",1
"Kenwood","Construction site cleanliness",10
"Kenwood","Handling and storage of material susceptible to becoming windborne",2
"Lake View","Certificate of operation requiered",5
"Lake View","Construction site cleanliness",103
"Lake View","Handling and storage of material susceptible to becoming windborne",30
"Lake View","Semiannual surficial cleansing",9
"Lake View","Treatment and disposal of solid or liquid waste",10
"Lincoln Park","Certificate of operation requiered",4
"Lincoln Park","Construction site cleanliness",173
"Lincoln Park","Handling and storage of material susceptible to becoming windborne",42
"Lincoln Park","Semiannual surficial cleansing",9
"Lincoln Park","Treatment and disposal of solid or liquid waste",3
"Lincoln Square","Certificate of operation requiered",4
"Lincoln Square","Construction site cleanliness",68
"Lincoln Square","Handling and storage of material susceptible to becoming windborne",12
"Lincoln Square","Semiannual surficial cleansing",3
"Lincoln Square","Treatment and disposal of solid or liquid waste",2
"Logan Square","Certificate of operation requiered",9
"Logan Square","Construction site cleanliness",133
"Logan Square","Handling and storage of material susceptible to becoming windborne",25
"Logan Square","Semiannual surficial cleansing",4
"Logan Square","Treatment and disposal of solid or liquid waste",1
"Loop","Certificate of operation requiered",2
"Loop","Construction site cleanliness",10
"Loop","Handling and storage of material susceptible to becoming windborne",12
"Loop","Treatment and disposal of solid or liquid waste",1
"Lower West Side","Certificate of operation requiered",15
"Lower West Side","Construction site cleanliness",47
"Lower West Side","Handling and storage of material susceptible to becoming windborne",25
"Lower West Side","Semiannual surficial cleansing",17
"Lower West Side","Treatment and disposal of solid or liquid waste",21
"McKinley Park","Certificate of operation requiered",5
"McKinley Park","Construction site cleanliness",35
"McKinley Park","Handling and storage of material susceptible to becoming windborne",3
"McKinley Park","Semiannual surficial cleansing",2
"McKinley Park","Treatment and disposal of solid or liquid waste",10
"Montclare","Certificate of operation requiered",1
"Montclare","Construction site cleanliness",7
"Montclare","Treatment and disposal of solid or liquid waste",2
"Morgan Park","Certificate of operation requiered",1
"Morgan Park","Construction site cleanliness",6
"Morgan Park","Semiannual surficial cleansing",8
"Mount Greenwood","Certificate of operation requiered",1
"Mount Greenwood","Construction site cleanliness",5
"Mount Greenwood","Semiannual surficial cleansing",2
"Near North Side","Certificate of operation requiered",3
"Near North Side","Construction site cleanliness",19
"Near North Side","Handling and storage of material susceptible to becoming windborne",13
"Near North Side","Semiannual surficial cleansing",1
"Near North Side","Treatment and disposal of solid or liquid waste",4
"Near South Side","Certificate of operation requiered",5
"Near South Side","Construction site cleanliness",8
"Near South Side","Handling and storage of material susceptible to becoming windborne",5
"Near South Side","Treatment and disposal of solid or liquid waste",2
"Near West Side","Certificate of operation requiered",20
"Near West Side","Construction site cleanliness",58
"Near West Side","Handling and storage of material susceptible to becoming windborne",32
"Near West Side","Semiannual surficial cleansing",25
"Near West Side","Treatment and disposal of solid or liquid waste",10
"New City","Certificate of operation requiered",13
"New City","Construction site cleanliness",17
"New City","Handling and storage of material susceptible to becoming windborne",14
"New City","Semiannual surficial cleansing",3
"New City","Treatment and disposal of solid or liquid waste",27
"North Center","Certificate of operation requiered",7
"North Center","Construction site cleanliness",130
"North Center","Handling and storage of material susceptible to becoming windborne",21
"North Center","Semiannual surficial cleansing",4
"North Center","Treatment and disposal of solid or liquid waste",5
"North Lawndale","Certificate of operation requiered",10
"North Lawndale","Construction site cleanliness",12
"North Lawndale","Handling and storage of material susceptible to becoming windborne",4
"North Lawndale","Semiannual surficial cleansing",3
"North Lawndale","Treatment and disposal of solid or liquid waste",13
"North Park","Certificate of operation requiered",5
"North Park","Construction site cleanliness",3
"North Park","Handling and storage of material susceptible to becoming windborne",1
"North Park","Semiannual surficial cleansing",9
"North Park","Treatment and disposal of solid or liquid waste",4
"Norwood Park","Certificate of operation requiered",9
"Norwood Park","Construction site cleanliness",17
"Norwood Park","Semiannual surficial cleansing",10
"Norwood Park","Treatment and disposal of solid or liquid waste",1
"O'Hare","Certificate of operation requiered",1
"Oakland","Construction site cleanliness",3
"Portage Park","Certificate of operation requiered",14
"Portage Park","Construction site cleanliness",21
"Portage Park","Handling and storage of material susceptible to becoming windborne",7
"Portage Park","Semiannual surficial cleansing",12
"Portage Park","Treatment and disposal of solid or liquid waste",3
"Pullman","Certificate of operation requiered",2
"Pullman","Construction site cleanliness",2
"Pullman","Handling and storage of material susceptible to becoming windborne",2
"Pullman","Semiannual surficial cleansing",5
"Pullman","Treatment and disposal of solid or liquid waste",3
"Riverdale","Handling and storage of material susceptible to becoming windborne",3
"Riverdale","Semiannual surficial cleansing",2
"Riverdale","Treatment and disposal of solid or liquid waste",3
"Rogers Park","Certificate of operation requiered",10
"Rogers Park","Construction site cleanliness",10
"Rogers Park","Handling and storage of material susceptible to becoming windborne",2
"Rogers Park","Semiannual surficial cleansing",2
"Rogers Park","Treatment and disposal of solid or liquid waste",6
"Roseland","Certificate of operation requiered",2
"Roseland","Construction site cleanliness",34
"Roseland","Handling and storage of material susceptible to becoming windborne",2
"Roseland","Semiannual surficial cleansing",9
"Roseland","Treatment and disposal of solid or liquid waste",2
"South Chicago","Certificate of operation requiered",14
"South Chicago","Construction site cleanliness",4
"South Chicago","Handling and storage of material susceptible to becoming windborne",1
"South Chicago","Semiannual surficial cleansing",4
"South Chicago","Treatment and disposal of solid or liquid waste",3
"South Deering","Certificate of operation requiered",4
"South Deering","Construction site cleanliness",3
"South Deering","Handling and storage of material susceptible to becoming windborne",14
"South Deering","Semiannual surficial cleansing",3
"South Deering","Treatment and disposal of solid or liquid waste",4
"South Lawndale","Certificate of operation requiered",26
"South Lawndale","Construction site cleanliness",11
"South Lawndale","Handling and storage of material susceptible to becoming windborne",18
"South Lawndale","Treatment and disposal of solid or liquid waste",20
"South Shore","Certificate of operation requiered",4
"South Shore","Construction site cleanliness",9
"South Shore","Semiannual surficial cleansing",13
"South Shore","Treatment and disposal of solid or liquid waste",4
"Uptown","Certificate of operation requiered",7
"Uptown","Construction site cleanliness",44
"Uptown","Handling and storage of material susceptible to becoming windborne",12
"Uptown","Semiannual surficial cleansing",8
"Uptown","Treatment and disposal of solid or liquid waste",1
"Washington Heights","Certificate of operation requiered",9
"Washington Heights","Construction site cleanliness",11
"Washington Heights","Handling and storage of material susceptible to becoming windborne",9
"Washington Heights","Semiannual surficial cleansing",9
"Washington Heights","Treatment and disposal of solid or liquid waste",2
"Washington Park","Certificate of operation requiered",1
"Washington Park","Construction site cleanliness",6
"Washington Park","Handling and storage of material susceptible to becoming windborne",1
"Washington Park","Semiannual surficial cleansing",1
"Washington Park","Treatment and disposal of solid or liquid waste",2
"West Elsdon","Semiannual surficial cleansing",2
"West Englewood","Certificate of operation requiered",6
"West Englewood","Construction site cleanliness",33
"West Englewood","Handling and storage of material susceptible to becoming windborne",4
"West Englewood","Semiannual surficial cleansing",6
"West Englewood","Treatment and disposal of solid or liquid waste",14
"West Garfield Park","Certificate of operation requiered",8
"West Garfield Park","Construction site cleanliness",14
"West Garfield Park","Handling and storage of material susceptible to becoming windborne",2
"West Garfield Park","Semiannual surficial cleansing",9
"West Garfield Park","Treatment and disposal of solid or liquid waste",16
"West Lawn","Construction site cleanliness",1
"West Lawn","Handling and storage of material susceptible to becoming windborne",3
"West Lawn","Semiannual surficial cleansing",7
"West Pullman","Certificate of operation requiered",5
"West Pullman","Construction site cleanliness",26
"West Pullman","Handling and storage of material susceptible to becoming windborne",1
"West Pullman","Semiannual surficial cleansing",6
"West Pullman","Treatment and disposal of solid or liquid waste",3
"West Ridge","Certificate of operation requiered",11
"West Ridge","Construction site cleanliness",28
"West Ridge","Handling and storage of material susceptible to becoming windborne",5
"West Ridge","Semiannual surficial cleansing",7
"West Ridge","Treatment and disposal of solid or liquid waste",2
"West Town","Certificate of operation requiered",25
"West Town","Construction site cleanliness",180
"West Town","Handling and storage of material susceptible to becoming windborne",31
"West Town","Semiannual surficial cleansing",11
"West Town","Treatment and disposal of solid or liquid waste",15
"Woodlawn","Certificate of operation requiered",4
"Woodlawn","Construction site cleanliness",9
"Woodlawn","Handling and storage of material susceptible to becoming windborne",3
"Woodlawn","Semiannual surficial cleansing",2
"Woodlawn","Treatment and disposal of solid or liquid waste",3
